complexity,model,MAP,P@10,R@10,query_count
Simple,BIM,0.5584378359742991,0.11966463414634146,0.7105389148453174,656
Simple,BM25_Best,0.7365693166402649,0.14344512195121917,0.8319561028402493,656
Medium,BIM,0.5213057164027154,0.16742756804214098,0.6735782167301047,1139
Medium,BM25_Best,0.7583422945217101,0.21738366988586294,0.8380786782235419,1139
Complex,BIM,0.5555213016640596,0.12105263157894788,0.7206127632114475,456
Complex,BM25_Best,0.7714872919550606,0.14758771929824616,0.8637825198680462,456
