category,model,MAP,P@10,R@10,query_count
Short,BIM,0.6457476043288416,0.13806451612903167,0.6997815517815515,775
Short,BM25_Best,0.7398344914916232,0.16464516129032167,0.8249497312723119,775
Medium,BIM,0.6403111834848645,0.15483460559796353,0.760337104230234,786
Medium,BM25_Best,0.7571102351478464,0.17277353689567324,0.8400515515019331,786
Long,BIM,0.5927110799225646,0.14607390300230874,0.7700684259287032,866
Long,BM25_Best,0.8239386091013353,0.17586605080831236,0.9124385557988327,866
