k1,b,MAP
2.5,0.89,0.6265471593008054
2.5,0.94,0.6287147047599758
2.5,0.99,0.6292829569849936
2.75,0.89,0.6271260638626112
2.75,0.94,0.6301043492453114
2.75,0.99,0.629780249315786
3.0,0.89,0.6277053361531795
3.0,0.94,0.6302987103135357
3.0,0.99,0.6305344214234635
3.25,0.89,0.62834555731162
3.25,0.94,0.6307333605647033
3.25,0.99,0.630858048176421
3.5,0.89,0.6287875811419292
3.5,0.94,0.6301386201877263
3.5,0.99,0.6304201185405921
