k1,b,MAP,queries
5.0,0.95,0.6595661138431234,1372
5.0,0.98,0.660417626285717,1372
5.0,0.99,0.6608862577015384,1372
5.25,0.95,0.6599232752930297,1372
5.25,0.98,0.6608276797307051,1372
5.25,0.99,0.6611503770813386,1372
5.5,0.95,0.6603022411654996,1372
5.5,0.98,0.6610131548482776,1372
5.5,0.99,0.6619914118559295,1372
