model,w_doc,w_query,w_topic,AUC
BIM,1.5,2.0,0.5,0.349480565150295
BIM,1.5,2.0,1.0,0.3626781023518476
BIM,1.5,2.0,1.5,0.3771378674519105
BIM,1.5,2.0,2.0,0.39053777346086427
BIM,1.5,3.0,0.0,0.3951448073830874
BIM,1.5,3.0,0.5,0.3992501673325445
BIM,1.5,3.0,1.0,0.40504129747777745
BIM,1.5,3.0,1.5,0.41163806747417836
BIM,1.5,3.0,2.0,0.41856293224876817
BIM,2.0,0.0,0.0,0.09885739706944721
BIM,2.0,0.0,0.5,0.1447388803154785
BIM,2.0,0.0,1.0,0.21020281869567356
BIM,2.0,0.0,1.5,0.2624284062691769
BIM,2.0,0.0,2.0,0.29712403257838416
BIM,2.0,0.5,0.0,0.15288165575714577
BIM,2.0,0.5,0.5,0.18423213619898135
BIM,2.0,0.5,1.0,0.23536873522489235
BIM,2.0,0.5,1.5,0.27901126371350077
BIM,2.0,0.5,2.0,0.3101764322630092
BIM,2.0,1.0,0.0,0.21189084642432687
BIM,2.0,1.0,0.5,0.23163932327741338
BIM,2.0,1.0,1.0,0.26610223759538276
BIM,2.0,1.0,1.5,0.29911584817209425
BIM,2.0,1.0,2.0,0.32516546340434016
BIM,2.0,1.5,0.0,0.2610863555683869
BIM,2.0,1.5,0.5,0.2742482577348417
BIM,2.0,1.5,1.0,0.2966521111088095
BIM,2.0,1.5,1.5,0.32031990778261393
BIM,2.0,1.5,2.0,0.34098368070749624
BIM,2.0,2.0,0.0,0.3003763768523098
BIM,2.0,2.0,0.5,0.30956560374358827
BIM,2.0,2.0,1.0,0.32432201999186966
BIM,2.0,2.0,1.5,0.341013004360356
BIM,2.0,2.0,2.0,0.3567860548229318
BIM,2.0,3.0,0.0,0.35727136775097296
BIM,2.0,3.0,0.5,0.36201895130072737
BIM,2.0,3.0,1.0,0.3691755247186094
BIM,2.0,3.0,1.5,0.3776658712167309
BIM,2.0,3.0,2.0,0.38660401837615577
BIM,3.0,0.0,0.0,0.09885739706944721
BIM,3.0,0.0,0.5,0.12377041327578216
BIM,3.0,0.0,1.0,0.16688574715113913
BIM,3.0,0.0,1.5,0.21020281869567356
BIM,3.0,0.0,2.0,0.2473747886496102
BIM,3.0,0.5,0.0,0.13268829118840414
BIM,3.0,0.5,0.5,0.152213571672704
BIM,3.0,0.5,1.0,0.18813983660316877
BIM,3.0,0.5,1.5,0.22605363671554374
BIM,3.0,0.5,2.0,0.25915050898870295
BIM,3.0,1.0,0.0,0.173315694368564
BIM,3.0,1.0,0.5,0.18756472403400248
BIM,3.0,1.0,1.0,0.21465696342893836
BIM,3.0,1.0,1.5,0.24534516949459745
BIM,3.0,1.0,2.0,0.2732609148073442
BIM,3.0,1.5,0.0,0.21189084642432687
BIM,3.0,1.5,0.5,0.22254580283371353
BIM,3.0,1.5,1.0,0.24245339125132376
BIM,3.0,1.5,1.5,0.26610223759538276
BIM,3.0,1.5,2.0,0.28883206577042886
BIM,3.0,2.0,0.0,0.24585317103263277
BIM,3.0,2.0,0.5,0.2541746314152773
BIM,3.0,2.0,1.0,0.2688283177803613
BIM,3.0,2.0,1.5,0.28675942402649357
BIM,3.0,2.0,2.0,0.30476867813115766
BIM,3.0,3.0,0.0,0.3003763768523098
BIM,3.0,3.0,0.5,0.3056419306874293
BIM,3.0,3.0,1.0,0.3140479312260006
BIM,3.0,3.0,1.5,0.32432201999186966
BIM,3.0,3.0,2.0,0.3354580655581074
BIM,-0.5,0.0,0.0,0.9011426029305528
BIM,-0.5,0.0,0.5,0.7284243456229431
BIM,-0.5,0.0,1.0,0.6342028691867314
BIM,-0.5,0.0,1.5,0.5940554870833517
BIM,-0.5,0.0,2.0,0.5725417975334471
BIM,-0.5,0.5,0.0,0.8211248841294954
BIM,-0.5,0.5,0.5,0.7315632468468982
BIM,-0.5,0.5,1.0,0.6457630153648173
BIM,-0.5,0.5,1.5,0.6038099629861706
BIM,-0.5,0.5,2.0,0.5804460998247054
BIM,-0.5,1.0,0.0,0.7303410314934737
BIM,-0.5,1.0,0.5,0.6973318307928131
BIM,-0.5,1.0,1.0,0.6440994321050628
BIM,-0.5,1.0,1.5,0.6080367280370371
BIM,-0.5,1.0,2.0,0.585418692242761
BIM,-0.5,1.5,0.0,0.6821135508289596
BIM,-0.5,1.5,0.5,0.6672567997861251
BIM,-0.5,1.5,1.0,0.6363319330695716
BIM,-0.5,1.5,1.5,0.6088240001475892
BIM,-0.5,1.5,2.0,0.5886951896910206
BIM,-0.5,2.0,0.0,0.6543057463355143
BIM,-0.5,2.0,0.5,0.6460623367132133
BIM,-0.5,2.0,1.0,0.6275211463671037
BIM,-0.5,2.0,1.5,0.6073320217525835
BIM,-0.5,2.0,2.0,0.5904658884354763
BIM,-0.5,3.0,0.0,0.6241595099907562
BIM,-0.5,3.0,0.5,0.6207285131419161
BIM,-0.5,3.0,1.0,0.6126262681023389
BIM,-0.5,3.0,1.5,0.6017867118540057
BIM,-0.5,3.0,2.0,0.5905324330605091
BIM,-1.0,0.0,0.0,0.9011426029305528
BIM,-1.0,0.0,0.5,0.8197547882353247
BIM,-1.0,0.0,1.0,0.7284243456229431
BIM,-1.0,0.0,1.5,0.6699147251344485
BIM,-1.0,0.0,2.0,0.6342028691867314
BIM,-1.0,0.5,0.0,0.8866590568658776
BIM,-1.0,0.5,0.5,0.8273684432830063
BIM,-1.0,0.5,1.0,0.7389632130567287
BIM,-1.0,0.5,1.5,0.6795046843402631
BIM,-1.0,0.5,2.0,0.6421658996988662
BIM,-1.0,1.0,0.0,0.8211248841294954
BIM,-1.0,1.0,0.5,0.7928709458269787
BIM,-1.0,1.0,1.0,0.7315632468468982
BIM,-1.0,1.0,1.5,0.6809714172063168
BIM,-1.0,1.0,2.0,0.6457630153648173
BIM,-1.0,1.5,0.0,0.7683365640058311
BIM,-1.0,1.5,0.5,0.7535003492298171
BIM,-1.0,1.5,1.0,0.7152796217442978
BIM,-1.0,1.5,1.5,0.6766427961559475
BIM,-1.0,1.5,2.0,0.6461342864707268
BIM,-1.0,2.0,0.0,0.7303410314934737
BIM,-1.0,2.0,0.5,0.721402228921278
BIM,-1.0,2.0,1.0,0.6973318307928131
BIM,-1.0,2.0,1.5,0.6691302445968095
BIM,-1.0,2.0,2.0,0.6440994321050628
BIM,-1.0,3.0,0.0,0.6821135508289596
BIM,-1.0,3.0,0.5,0.6780859341622497
BIM,-1.0,3.0,1.0,0.6672567997861251
BIM,-1.0,3.0,1.5,0.6522566670852679
BIM,-1.0,3.0,2.0,0.6363319330695716
BM25_Best,0.0,0.0,0.0,0.5
BM25_Best,0.0,0.0,0.5,0.5027381573094609
BM25_Best,0.0,0.0,1.0,0.5027381573094609
BM25_Best,0.0,0.0,1.5,0.5027381573094609
BM25_Best,0.0,0.0,2.0,0.5027381573094609
BM25_Best,0.0,0.5,0.0,0.5722461473144982
BM25_Best,0.0,0.5,0.5,0.5437683925872903
BM25_Best,0.0,0.5,1.0,0.5263074938654553
BM25_Best,0.0,0.5,1.5,0.5192328836631112
BM25_Best,0.0,0.5,2.0,0.5155252768277703
BM25_Best,0.0,1.0,0.0,0.5722461473144982
BM25_Best,0.0,1.0,0.5,0.561578603179653
BM25_Best,0.0,1.0,1.0,0.5437683925872903
BM25_Best,0.0,1.0,1.5,0.532842201542989
BM25_Best,0.0,1.0,2.0,0.5263074938654553
BM25_Best,0.0,1.5,0.0,0.5722461473144982
BM25_Best,0.0,1.5,0.5,0.5679004797169714
BM25_Best,0.0,1.5,1.0,0.554918719124756
BM25_Best,0.0,1.5,1.5,0.5437683925872903
BM25_Best,0.0,1.5,2.0,0.535904410833326
BM25_Best,0.0,2.0,0.0,0.5722461473144982
BM25_Best,0.0,2.0,0.5,0.5702592968176957
BM25_Best,0.0,2.0,1.0,0.561578603179653
BM25_Best,0.0,2.0,1.5,0.5518086228278705
BM25_Best,0.0,2.0,2.0,0.5437683925872903
BM25_Best,0.0,3.0,0.0,0.5722461473144982
BM25_Best,0.0,3.0,0.5,0.571636273790692
BM25_Best,0.0,3.0,1.0,0.5679004797169714
BM25_Best,0.0,3.0,1.5,0.561578603179653
BM25_Best,0.0,3.0,2.0,0.554918719124756
BM25_Best,0.5,0.0,0.0,0.5147758111149406
BM25_Best,0.5,0.0,0.5,0.5090846953789867
BM25_Best,0.5,0.0,1.0,0.5060414310058886
BM25_Best,0.5,0.0,1.5,0.5049077185532784
BM25_Best,0.5,0.0,2.0,0.5043732104509664
BM25_Best,0.5,0.5,0.0,0.5699917573960662
BM25_Best,0.5,0.5,0.5,0.5452772935685228
BM25_Best,0.5,0.5,1.0,0.528424086667197
BM25_Best,0.5,0.5,1.5,0.5209815878970516
BM25_Best,0.5,0.5,2.0,0.5169432458884559
BM25_Best,0.5,1.0,0.0,0.5728085112572208
BM25_Best,0.5,1.0,0.5,0.5616961297872278
BM25_Best,0.5,1.0,1.0,0.5449286444939332
BM25_Best,0.5,1.0,1.5,0.5341574188222263
BM25_Best,0.5,1.0,2.0,0.527493502758704
BM25_Best,0.5,1.5,0.0,0.5731670102158948
BM25_Best,0.5,1.5,0.5,0.5680433582691895
BM25_Best,0.5,1.5,1.0,0.5555373378727491
BM25_Best,0.5,1.5,1.5,0.544678991357141
BM25_Best,0.5,1.5,2.0,0.5368292965378486
BM25_Best,0.5,2.0,0.0,0.5731008226770475
BM25_Best,0.5,2.0,0.5,0.5706015664813784
BM25_Best,0.5,2.0,1.0,0.5619924548046814
BM25_Best,0.5,2.0,1.5,0.5524205399724866
BM25_Best,0.5,2.0,2.0,0.5445038107084258
BM25_Best,0.5,3.0,0.0,0.5729532953477616
BM25_Best,0.5,3.0,0.5,0.5721552153939511
BM25_Best,0.5,3.0,1.0,0.5681909408314701
BM25_Best,0.5,3.0,1.5,0.5619580630598785
BM25_Best,0.5,3.0,2.0,0.5553510369810677
BM25_Best,1.0,0.0,0.0,0.5147758111149406
BM25_Best,1.0,0.0,0.5,0.5127884174936886
BM25_Best,1.0,0.0,1.0,0.5090846953789867
BM25_Best,1.0,0.0,1.5,0.5071748304715278
BM25_Best,1.0,0.0,2.0,0.5060414310058886
BM25_Best,1.0,0.5,0.0,0.5641979267006607
BM25_Best,1.0,0.5,0.5,0.5449146337242357
BM25_Best,1.0,0.5,1.0,0.5297542812935421
BM25_Best,1.0,0.5,1.5,0.5223823887018332
