Model,MAP,MAP_std,P@10,P@10_std,R@10,R@10_std,Pseudo_R2,Best_AUC
BIM,0.4164769315341931,0.34310914584631097,0.1926384839650146,0.1891199023957126,0.520456284865855,0.3755835852279666,0.23435528089394697,0.8286190196947574
BM25_Best,0.6308580481764215,0.3253908527629023,0.2698250728862974,0.22354278585937096,0.6810411581726875,0.3143118718664207,0.016088034826703512,0.5790528265501376
