category,model,MAP,P@10,R@10,query_count
Short,BIM,0.641909439168177,0.15228832951944993,0.7182175661866738,874
Short,BM25_Best,0.7427123573547212,0.17643020594965533,0.8175036189338245,874
Medium,BIM,0.6538015906085277,0.1374251497005983,0.7770328390837374,668
Medium,BM25_Best,0.7657635298213771,0.1514970059880232,0.8480610208155117,668
Long,BIM,0.5891298559602455,0.14785553047403982,0.765494328220062,886
Long,BM25_Best,0.8201892504207805,0.17844243792324874,0.9092449436693226,886
