complexity,model,MAP,P@10,R@10,query_count
Simple,BIM,0.5513147482097295,0.12706586826347246,0.6983718277730254,835
Simple,BM25_Best,0.7430277574161448,0.1562874251496995,0.8325377815796975,835
Medium,BIM,0.5604895784076992,0.13194925028835003,0.7114708628549457,867
Medium,BM25_Best,0.7765057148683611,0.16401384083044862,0.8607788213324548,867
Complex,BIM,0.5136596437839642,0.14703557312252918,0.6823483280005019,759
Complex,BM25_Best,0.7639991860647444,0.18787878787878692,0.8522952088169481,759
