Model,Feature,Coefficient,Odds_Ratio,P_value,Lower_CI,Upper_CI
BIM,doc_length_scaled,-0.11105878661677493,0.8948861400541247,0.0,0.8898926978051251,0.8999076019346547
BIM,query_length_scaled,0.06672219912223791,1.0689984682089009,3.5417500989963864e-87,1.061958213914747,1.0760853958842453
BIM,topic_1,0.2539085265021345,1.2890538846068624,0.006227489401306922,1.0746433565038929,1.546243139515489
BIM,topic_2,-0.042830039654772854,0.9580742108537301,0.7306096185654478,0.7507863707275099,1.2225930428299452
BIM,topic_3,0.5090435975949265,1.6636992678247013,2.0286104331469488e-06,1.3485425917625338,2.0525085901386557
BIM,topic_4,0.2744581370120058,1.3158174888643515,0.008203002059465907,1.0735542023071452,1.6127510472041717
BIM,topic_5,0.12158144867131594,1.1292813406442348,0.18704977340561912,0.9426754357213357,1.3528265381725983
BIM,topic_6,0.49257503429511756,1.6365249066329266,7.38710165120986e-07,1.3465883767031717,1.988888227735139
BIM,topic_7,0.4858539327783907,1.6255625374658942,0.000338751781006578,1.2462458833246737,2.1203308260189786
BIM,topic_8,0.092049523662663,1.096419119426912,0.34910456323096717,0.9042650359335835,1.3294054703815612
BIM,topic_9,0.34490970294063295,1.4118624268862554,0.002642362339989579,1.1275681862419655,1.7678358938954593
BM25,doc_length_scaled,0.00860586662851262,1.0086430035540923,3.985713703257603e-05,1.0045103771023438,1.0127926319221763
BM25,query_length_scaled,0.03236973582662327,1.032899334602081,1.5203814526194235e-34,1.0275672260198017,1.0382591118187943
BM25,topic_1,0.2495754630206637,1.2834804161105848,0.0006887654774017314,1.1112120829232663,1.4824550631287132
BM25,topic_2,0.06802934949343409,1.0703967236193745,0.47430278729919395,0.8884080974823325,1.2896653567004177
BM25,topic_3,0.40311137692129634,1.496473554999543,4.5945019404946635e-06,1.259478951645686,1.7780631410210044
BM25,topic_4,0.26887599310653293,1.3084928688494493,0.0013916298047025619,1.109607158234293,1.5430268046886026
BM25,topic_5,-0.054243298582405654,0.9472016256523297,0.4462188393942065,0.8238120087685216,1.089072397693723
BM25,topic_6,0.2642099907794006,1.30240165992713,0.001033985679901085,1.1122498244879973,1.5250621276220742
BM25,topic_7,0.3215122833231624,1.3792119472281308,0.0031695591573553915,1.1140019698116799,1.7075603517095934
BM25,topic_8,0.011990399734430104,1.0120625727499675,0.8782855060289642,0.8680848141905374,1.179920019815557
BM25,topic_9,0.1418052091760496,1.1523521590469268,0.1333575735896796,0.9575656061234412,1.3867618990995065
