model,w1_doc,w2_query,w3_topic,AUC
BIM,0.0,1.5,1.5,0.5875811625193399
BIM,0.0,1.5,2.0,0.5830963525622079
BIM,0.0,2.0,0.0,0.5770586456161325
BIM,0.0,2.0,0.5,0.5863457066619803
BIM,0.0,2.0,1.0,0.5904846453580268
BIM,0.0,2.0,1.5,0.590129079663423
BIM,0.0,2.0,2.0,0.5875811625193399
BIM,0.0,3.0,0.0,0.5770586456161325
BIM,0.0,3.0,0.5,0.5838370141584796
BIM,0.0,3.0,1.0,0.5883273245034233
BIM,0.0,3.0,1.5,0.5904846453580268
BIM,0.0,3.0,2.0,0.5906485912922398
BIM,0.5,0.0,0.0,0.18636413983663436
BIM,0.5,0.0,0.5,0.3586527013195224
BIM,0.5,0.0,1.0,0.43367077181235514
BIM,0.5,0.0,1.5,0.46729904281563756
BIM,0.5,0.0,2.0,0.48644128621343613
BIM,0.5,0.5,0.0,0.3891157225904159
BIM,0.5,0.5,0.5,0.4360183545191083
BIM,0.5,0.5,1.0,0.4724108797945935
BIM,0.5,0.5,1.5,0.49340173478106286
BIM,0.5,0.5,2.0,0.5055372404100567
BIM,0.5,1.0,0.0,0.463840037996679
BIM,0.5,1.0,0.5,0.48613696006904084
BIM,0.5,1.0,1.0,0.5037936518511659
BIM,0.5,1.0,1.5,0.5151109747931665
BIM,0.5,1.0,2.0,0.5220366849740199
BIM,0.5,1.5,0.0,0.4972635226862464
BIM,0.5,1.5,0.5,0.5122632865133447
BIM,0.5,1.5,1.0,0.5234669576921858
BIM,0.5,1.5,1.5,0.5308574162657056
BIM,0.5,1.5,2.0,0.5352960229652192
BIM,0.5,2.0,0.0,0.5159510902765588
BIM,0.5,2.0,0.5,0.5271074237427953
BIM,0.5,2.0,1.0,0.5357891671099636
BIM,0.5,2.0,1.5,0.5413965374646196
BIM,0.5,2.0,2.0,0.5448737107520687
BIM,0.5,3.0,0.0,0.5352099762733895
BIM,0.5,3.0,0.5,0.5429222075338949
BIM,0.5,3.0,1.0,0.5492935473781748
BIM,0.5,3.0,1.5,0.5537546025354451
BIM,0.5,3.0,2.0,0.5565912900396434
BIM,1.0,0.0,0.0,0.18636413983663436
BIM,1.0,0.0,0.5,0.2833407382304248
BIM,1.0,0.0,1.0,0.3586527013195224
BIM,1.0,0.0,1.5,0.4029753419677046
BIM,1.0,0.0,2.0,0.43367077181235514
BIM,1.0,0.5,0.0,0.3106993406203846
BIM,1.0,0.5,0.5,0.35391059353378534
BIM,1.0,0.5,1.0,0.3981130507082815
BIM,1.0,0.5,1.5,0.42987744654671556
BIM,1.0,0.5,2.0,0.4533425822354387
BIM,1.0,1.0,0.0,0.3891157225904159
BIM,1.0,1.0,0.5,0.411722797780511
BIM,1.0,1.0,1.0,0.4360183545191083
BIM,1.0,1.0,1.5,0.4563762523781443
BIM,1.0,1.0,2.0,0.4724108797945935
BIM,1.0,1.5,0.0,0.4348532004934673
BIM,1.0,1.5,0.5,0.4498552676079618
BIM,1.0,1.5,1.0,0.4651842296455914
BIM,1.0,1.5,1.5,0.47871504615272287
BIM,1.0,1.5,2.0,0.4896708904832221
BIM,1.0,2.0,0.0,0.463840037996679
BIM,1.0,2.0,0.5,0.47503611176485516
BIM,1.0,2.0,1.0,0.48613696006904084
BIM,1.0,2.0,1.5,0.4957141665719569
BIM,1.0,2.0,2.0,0.5037936518511659
BIM,1.0,3.0,0.0,0.4972635226862464
BIM,1.0,3.0,0.5,0.5049495583497984
BIM,1.0,3.0,1.0,0.5122632865133447
BIM,1.0,3.0,1.5,0.5184395688548515
BIM,1.0,3.0,2.0,0.5234669576921858
BIM,1.5,0.0,0.0,0.18636413983663436
BIM,1.5,0.0,0.5,0.24667859081989396
BIM,1.5,0.0,1.0,0.31436399118865377
BIM,1.5,0.0,1.5,0.3586527013195224
BIM,1.5,0.0,2.0,0.389161014846303
BIM,1.5,0.5,0.0,0.27278757385387903
BIM,1.5,0.5,0.5,0.30712367601368196
BIM,1.5,0.5,1.0,0.3510382910185061
BIM,1.5,0.5,1.5,0.384423754277325
BIM,1.5,0.5,2.0,0.4095454348878186
BIM,1.5,1.0,0.0,0.3420658177780647
BIM,1.5,1.0,0.5,0.3628657749300437
BIM,1.5,1.0,1.0,0.38856317425730497
BIM,1.5,1.0,1.5,0.4114717394543299
BIM,1.5,1.0,2.0,0.43054357788813846
BIM,1.5,1.5,0.0,0.3891157225904159
BIM,1.5,1.5,0.5,0.4034636904618256
BIM,1.5,1.5,1.0,0.4200256331822996
BIM,1.5,1.5,1.5,0.4360183545191083
BIM,1.5,1.5,2.0,0.450064282344807
BIM,1.5,2.0,0.0,0.42198545573703855
BIM,1.5,2.0,0.5,0.4329394780640753
BIM,1.5,2.0,1.0,0.4448893456044235
BIM,1.5,2.0,1.5,0.45647230290030644
BIM,1.5,2.0,2.0,0.4670902859094709
BIM,1.5,3.0,0.0,0.463840037996679
BIM,1.5,3.0,0.5,0.471127570563272
BIM,1.5,3.0,1.0,0.4788602220135283
BIM,1.5,3.0,1.5,0.48613696006904084
BIM,1.5,3.0,2.0,0.4926764398932403
BIM,2.0,0.0,0.0,0.18636413983663436
BIM,2.0,0.0,0.5,0.22773370821226463
BIM,2.0,0.0,1.0,0.2833407382304248
BIM,2.0,0.0,1.5,0.32727446708289476
BIM,2.0,0.0,2.0,0.3586527013195224
BIM,2.0,0.5,0.0,0.2513063249165711
BIM,2.0,0.5,0.5,0.2783881374786181
BIM,2.0,0.5,1.0,0.3175567084826775
BIM,2.0,0.5,1.5,0.35172587387239473
BIM,2.0,0.5,2.0,0.3776237279579694
BIM,2.0,1.0,0.0,0.3106993406203846
BIM,2.0,1.0,0.5,0.3290062469967023
BIM,2.0,1.0,1.0,0.35391059353378534
BIM,2.0,1.0,1.5,0.37791459534093774
BIM,2.0,1.0,2.0,0.3981130507082815
BIM,2.0,1.5,0.0,0.35553478929973803
BIM,2.0,1.5,0.5,0.36891520457764276
BIM,2.0,1.5,1.0,0.3856389618320527
BIM,2.0,1.5,1.5,0.40259480107469325
BIM,2.0,1.5,2.0,0.4179331481490267
BIM,2.0,2.0,0.0,0.3891157225904159
BIM,2.0,2.0,0.5,0.399546692413982
BIM,2.0,2.0,1.0,0.411722797780511
BIM,2.0,2.0,1.5,0.42414875826338727
BIM,2.0,2.0,2.0,0.4360183545191083
BIM,2.0,3.0,0.0,0.4348532004934673
BIM,2.0,3.0,0.5,0.4420278719776487
BIM,2.0,3.0,1.0,0.4498552676079618
BIM,2.0,3.0,1.5,0.4576602491579421
BIM,2.0,3.0,2.0,0.4651842296455914
BIM,3.0,0.0,0.0,0.18636413983663436
BIM,3.0,0.0,0.5,0.2100523334398346
BIM,3.0,0.0,1.0,0.24667859081989396
BIM,3.0,0.0,1.5,0.2833407382304248
BIM,3.0,0.0,2.0,0.31436399118865377
BIM,3.0,0.5,0.0,0.22866329094115692
BIM,3.0,0.5,0.5,0.24677768374406447
BIM,3.0,0.5,1.0,0.27508113243909404
BIM,3.0,0.5,1.5,0.3053338841971727
BIM,3.0,0.5,2.0,0.3317570596961902
BIM,3.0,1.0,0.0,0.27278757385387903
BIM,3.0,1.0,0.5,0.28653060219827126
BIM,3.0,1.0,1.0,0.30712367601368196
BIM,3.0,1.0,1.5,0.3299296933554421
BIM,3.0,1.0,2.0,0.3510382910185061
BIM,3.0,1.5,0.0,0.3106993406203846
BIM,3.0,1.5,0.5,0.32180579244465357
BIM,3.0,1.5,1.0,0.3369054226879584
BIM,3.0,1.5,1.5,0.35391059353378534
BIM,3.0,1.5,2.0,0.370329835567969
BIM,3.0,2.0,0.0,0.3420658177780647
BIM,3.0,2.0,0.5,0.35118614831836986
BIM,3.0,2.0,1.0,0.3628657749300437
BIM,3.0,2.0,1.5,0.3756879352224828
BIM,3.0,2.0,2.0,0.38856317425730497
BIM,3.0,3.0,0.0,0.3891157225904159
BIM,3.0,3.0,0.5,0.3957555157373315
BIM,3.0,3.0,1.0,0.4034636904618256
BIM,3.0,3.0,1.5,0.411722797780511
BIM,3.0,3.0,2.0,0.4200256331822996
BM25_Best,-2.0,0.0,0.0,0.45792838456569684
BM25_Best,-2.0,0.0,0.5,0.46237427354715266
BM25_Best,-2.0,0.0,1.0,0.468308181389457
BM25_Best,-2.0,0.0,1.5,0.47339758092281314
BM25_Best,-2.0,0.0,2.0,0.4774896633410452
BM25_Best,-2.0,0.5,0.0,0.4882545780046456
BM25_Best,-2.0,0.5,0.5,0.4885347229565753
BM25_Best,-2.0,0.5,1.0,0.4885250281380566
BM25_Best,-2.0,0.5,1.5,0.489897347351009
BM25_Best,-2.0,0.5,2.0,0.49134888164972895
BM25_Best,-2.0,1.0,0.0,0.5091257842687258
BM25_Best,-2.0,1.0,0.5,0.5091602185260976
BM25_Best,-2.0,1.0,1.0,0.507246510231944
BM25_Best,-2.0,1.0,1.5,0.5056892562455677
BM25_Best,-2.0,1.0,2.0,0.5046581023128687
BM25_Best,-2.0,1.5,0.0,0.5232904844079891
BM25_Best,-2.0,1.5,0.5,0.5235862714200499
BM25_Best,-2.0,1.5,1.0,0.5217382000344668
BM25_Best,-2.0,1.5,1.5,0.5191000688304959
BM25_Best,-2.0,1.5,2.0,0.5167057202199208
BM25_Best,-2.0,2.0,0.0,0.5333785540946705
BM25_Best,-2.0,2.0,0.5,0.5337892396421726
BM25_Best,-2.0,2.0,1.0,0.5325397486201449
BM25_Best,-2.0,2.0,1.5,0.5298680250057883
BM25_Best,-2.0,2.0,2.0,0.5269067331845274
BM25_Best,-2.0,3.0,0.0,0.5463525567191692
BM25_Best,-2.0,3.0,0.5,0.5468898723472111
BM25_Best,-2.0,3.0,1.0,0.5463931554689884
BM25_Best,-2.0,3.0,1.5,0.5445665104470223
BM25_Best,-2.0,3.0,2.0,0.541900516823443
BM25_Best,-1.0,0.0,0.0,0.45792838456569684
BM25_Best,-1.0,0.0,0.5,0.468308181389457
BM25_Best,-1.0,0.0,1.0,0.4774896633410452
BM25_Best,-1.0,0.0,1.5,0.4832082484493586
BM25_Best,-1.0,0.0,2.0,0.4868777236805093
BM25_Best,-1.0,0.5,0.0,0.5091257842687258
BM25_Best,-1.0,0.5,0.5,0.507246510231944
BM25_Best,-1.0,0.5,1.0,0.5046581023128687
BM25_Best,-1.0,0.5,1.5,0.5036440297270836
BM25_Best,-1.0,0.5,2.0,0.5030099288519809
BM25_Best,-1.0,1.0,0.0,0.5333785540946705
BM25_Best,-1.0,1.0,0.5,0.5325397486201449
BM25_Best,-1.0,1.0,1.0,0.5269067331845274
BM25_Best,-1.0,1.0,1.5,0.5217157960420917
BM25_Best,-1.0,1.0,2.0,0.5178072362668551
BM25_Best,-1.0,1.5,0.0,0.5463525567191692
BM25_Best,-1.0,1.5,0.5,0.5463931554689884
BM25_Best,-1.0,1.5,1.0,0.541900516823443
BM25_Best,-1.0,1.5,1.5,0.5358995599421397
BM25_Best,-1.0,1.5,2.0,0.5306273438310024
BM25_Best,-1.0,2.0,0.0,0.5539330901101608
BM25_Best,-1.0,2.0,0.5,0.5540362842568585
BM25_Best,-1.0,2.0,1.0,0.5512600629907934
BM25_Best,-1.0,2.0,1.5,0.5460540540716691
BM25_Best,-1.0,2.0,2.0,0.5405712132758509
BM25_Best,-1.0,3.0,0.0,0.561813728373562
BM25_Best,-1.0,3.0,0.5,0.5619362850009426
BM25_Best,-1.0,3.0,1.0,0.5607164215615588
BM25_Best,-1.0,3.0,1.5,0.5579286045321674
BM25_Best,-1.0,3.0,2.0,0.5538332090386993
BM25_Best,-0.5,0.0,0.0,0.45792838456569684
BM25_Best,-0.5,0.0,0.5,0.4774896633410452
BM25_Best,-0.5,0.0,1.0,0.4868777236805093
BM25_Best,-0.5,0.0,1.5,0.49091744864746956
BM25_Best,-0.5,0.0,2.0,0.49302676416232394
BM25_Best,-0.5,0.5,0.0,0.5333785540946705
BM25_Best,-0.5,0.5,0.5,0.5269067331845274
BM25_Best,-0.5,0.5,1.0,0.5178072362668551
BM25_Best,-0.5,0.5,1.5,0.5129026900378598
BM25_Best,-0.5,0.5,2.0,0.5100817422561075
BM25_Best,-0.5,1.0,0.0,0.5539330901101608
BM25_Best,-0.5,1.0,0.5,0.5512600629907934
BM25_Best,-0.5,1.0,1.0,0.5405712132758509
BM25_Best,-0.5,1.0,1.5,0.5317063744164983
BM25_Best,-0.5,1.0,2.0,0.5254762722168171
BM25_Best,-0.5,1.5,0.0,0.561813728373562
BM25_Best,-0.5,1.5,0.5,0.5607164215615588
BM25_Best,-0.5,1.5,1.0,0.5538332090386993
BM25_Best,-0.5,1.5,1.5,0.5452399880359965
BM25_Best,-0.5,1.5,2.0,0.5380443144994782
BM25_Best,-0.5,2.0,0.0,0.5655519363376843
BM25_Best,-0.5,2.0,0.5,0.5650967143689757
BM25_Best,-0.5,2.0,1.0,0.5611866881506018
BM25_Best,-0.5,2.0,1.5,0.5543845101892542
BM25_Best,-0.5,2.0,2.0,0.5474726205561545
BM25_Best,-0.5,3.0,0.0,0.5690015537236603
BM25_Best,-0.5,3.0,0.5,0.5689104441546681
BM25_Best,-0.5,3.0,1.0,0.567447748594292
BM25_Best,-0.5,3.0,1.5,0.5642387093518936
BM25_Best,-0.5,3.0,2.0,0.5595424523611011
BM25_Best,0.0,0.0,0.0,0.5
BM25_Best,0.0,0.0,0.5,0.5007214628671885
BM25_Best,0.0,0.0,1.0,0.5007214628671885
BM25_Best,0.0,0.0,1.5,0.5007214628671885
BM25_Best,0.0,0.0,2.0,0.5007214628671885
BM25_Best,0.0,0.5,0.0,0.5750812640327067
BM25_Best,0.0,0.5,0.5,0.5536843922166195
BM25_Best,0.0,0.5,1.0,0.5329854658648155
BM25_Best,0.0,0.5,1.5,0.5235780430446684
BM25_Best,0.0,0.5,2.0,0.5182470062699134
BM25_Best,0.0,1.0,0.0,0.5750812640327067
BM25_Best,0.0,1.0,0.5,0.5692986713970863
BM25_Best,0.0,1.0,1.0,0.5536843922166195
BM25_Best,0.0,1.0,1.5,0.541282166633889
BM25_Best,0.0,1.0,2.0,0.5329854658648155
