Model,Outcome,Feature,Coefficient,Odds_Ratio,P_value,Lower_CI,Upper_CI,complexity
BIM_Simple,0,0,0.047235070070623525,1.0483684201551517,0.5803607109914101,0.8867250531291895,1.2394781680071483,Simple
BIM_Simple,0,1,-1.4350276522992558,0.23810877966842048,3.0443185430708606e-24,0.6664089632930392,0.9327681574357171,Simple
BIM_Simple,0,2,-1.0221519901694844,0.3598197777767404,1.2622797664572161e-17,0.9775622154437216,1.3791370640933058,Simple
BIM_Simple,0,3,-0.6299780687758868,0.5326034815251295,1.511320837906027e-09,0.1805214324370929,0.31406681295275807,Simple
BIM_Simple,0,4,0.06648842883702778,1.0687485973394286,0.43464818018707785,0.9915177103855696,1.697136034167831,Simple
BIM_Simple,0,5,-0.7097173268913354,0.4917831916986594,3.4109450491593695e-11,0.7480117163161739,1.3103836440810044,Simple
BIM_Simple,0,6,-1.7993655370241717,0.16540379752312334,5.7370284988815875e-27,0.28463566815211805,0.4548631354595727,Simple
BIM_Simple,0,7,-0.39922845330370876,0.6708374288194389,4.221480155671276e-05,0.9891375548769075,1.5683325221857383,Simple
BIM_Simple,0,8,-1.0070043346854967,0.36531169362112925,5.449212344072233e-17,0.9209004395345934,1.4625524280847233,Simple
BIM_Simple,1,0,-0.23772516920430029,0.7884193432365131,0.005582927781364477,0.43417931834867557,0.6533394303799737,Simple
BIM_Simple,1,1,0.26021183781610113,1.2972048546050594,0.057717797167823735,0.9349592133820802,1.3975347243824081,Simple
BIM_Simple,1,2,0.2195455474722635,1.2455105765222285,0.06189026178211667,1.1304252419365293,1.6760517208594128,Simple
BIM_Simple,1,3,0.13372870027154068,1.143082659558231,0.19219267184961286,0.9045551265376658,1.2627462172339299,Simple
BIM_Simple,1,4,-0.18984132086638233,0.8270903655138543,0.025874840909607018,0.6998860774774819,0.9774140317112545,Simple
BIM_Simple,1,5,0.03611058295363938,1.0367704892949894,0.7314232043489555,1.1154714298733162,1.561267952077844,Simple
BIM_Simple,1,6,0.1565078480423981,1.1694199399402996,0.31287595825887227,0.3986788741871739,0.6066303566508393,Simple
BIM_Simple,1,7,-0.09589923070974772,0.9085555659554562,0.3106756806151344,0.8435874059470332,1.2741928576639532,Simple
BIM_Simple,1,8,-0.00405816785006822,0.9959500553855638,0.9717525831564822,1.2005214261151085,1.790021365647795,Simple
BIM_Simple,2,0,0.14938232303395466,1.1611168260668698,0.08885215846629688,0.1191539872177427,0.22960554551208978,Simple
BIM_Simple,2,1,-0.01000834259521413,0.9900415741986164,0.9442135051825402,0.8629109433678765,1.584802008180075,Simple
BIM_Simple,2,2,0.14888989938877528,1.1605452054382064,0.20706275040783828,0.5282254876494112,1.0700927919573122,Simple
BIM_Simple,2,3,0.31951737175819983,1.3764632839457207,0.0014720836574283692,0.5541565092031145,0.8120862038636257,Simple
BIM_Simple,2,4,0.27738770176790956,1.3196779133256935,0.0012206871259255567,0.7548027830066373,1.0936276799888014,Simple
BIM_Simple,2,5,0.38249177003840884,1.465932809737201,0.00017451561569549224,0.6566532879362861,0.9929987151508486,Simple
BIM_Simple,2,6,-0.28524333016439657,0.7518312888286648,0.11323720361430552,0.28862561341098414,0.46237280163458633,Simple
BIM_Simple,2,7,-0.2138125143355724,0.8074997654614596,0.04270774544795071,0.7955844362392406,1.246777171146455,Simple
BIM_Simple,2,8,-0.2496469752780954,0.779075767536569,0.05635343446840552,0.6028699725844963,1.0067826880822544,Simple
BM25_Best_Simple,0,0,-0.04766629815667684,0.9534519026541112,0.23556821306163156,0.8812360648799912,1.0315857088742098,Simple
BM25_Best_Simple,0,1,-1.3228364811778333,0.2663786513298436,4.2345060599306976e-97,0.8290814749038248,0.9771434363390822,Simple
BM25_Best_Simple,0,2,-1.1674035062961665,0.3111738541931914,1.1510690726833075e-88,0.9965551774944781,1.1699457081166578,Simple
BM25_Best_Simple,0,3,-0.7753167178879032,0.4605578909747085,5.896813546066505e-54,0.2353166466721542,0.30154086796573004,Simple
BM25_Best_Simple,0,4,0.0849421946874941,1.0886541348870418,0.029130975066193027,1.540090389114134,1.9209564697062096,Simple
BM25_Best_Simple,0,5,-0.903288581920311,0.4052348181791422,5.626606626859713e-66,0.8095989528206347,1.0292141898436558,Simple
BM25_Best_Simple,0,6,-2.0100697526093256,0.1339793289350752,2.72691840204719e-132,0.27747682743277174,0.3489630771308487,Simple
BM25_Best_Simple,0,7,-0.30152854340042995,0.7396867128792773,2.9789423764235205e-12,1.331695378306951,1.6502187664594856,Simple
BM25_Best_Simple,0,8,-1.2493994613935573,0.28667690572547216,2.1377489754089904e-97,1.066033428227231,1.3269152328879386,Simple
BM25_Best_Simple,1,0,-0.10527933620347331,0.9000730644745446,0.012019807321260692,0.41745801798414406,0.5081075504630216,Simple
BM25_Best_Simple,1,1,0.5423321661184569,1.7200135455574614,6.5671816349431225e-22,1.12657409177522,1.366018936752904,Simple
BM25_Best_Simple,1,2,0.393680357927782,1.4824266270171669,6.204625266264506e-13,1.1452634670536095,1.387383105174284,Simple
BM25_Best_Simple,1,3,0.2155409371815386,1.2405327657986929,1.164553253893794e-05,1.0086707680552855,1.1749798476778042,Simple
BM25_Best_Simple,1,4,-0.10541707186185549,0.8999491008557184,0.009237132902104029,0.8312807605462224,0.9742898218874179,Simple
BM25_Best_Simple,1,5,0.23742644531754634,1.2679817273672465,3.1981734816041297e-06,1.140338139717198,1.3286021843354108,Simple
BM25_Best_Simple,1,6,0.14471014455043796,1.1557045344569936,0.07091116235183748,0.3655029366154741,0.4492857414096359,Simple
